idx,beta_1,beta_2,beta_3,T_star,Q0,g_inel_hard
0,-0.89810,-0.35090,-0.21030,0.35278,1.54600,0.18610
1,0.16970,0.38630,0.84230,0.19094,2.57000,0.37210
2,0.88790,-0.79170,-0.77650,0.46362,2.91800,0.32050
3,-0.05830,0.90310,0.51170,0.49694,2.07800,0.15970
4,-0.46870,-0.89050,0.25710,0.26846,2.27800,0.26110
5,0.93350,0.68650,0.60290,0.32354,1.04200,0.25090
6,-0.54850,0.31030,-0.64730,0.43574,1.21400,0.10090
7,0.68650,0.13550,-0.06210,0.30858,1.70600,0.39910
8,0.50790,-0.47250,0.48510,0.22630,1.25800,0.11530
9,-0.34710,0.79290,-0.89430,0.21270,1.82200,0.24430
10,-0.28250,-0.03930,0.65230,0.39834,1.35400,0.35650
11,-0.59410,0.99810,-0.39650,0.16442,2.60600,0.15130
12,0.35210,-0.27490,-0.56370,0.47994,2.31000,0.23110
13,-0.84110,-0.55230,0.89170,0.42962,2.95000,0.22150
14,-0.51050,-0.63590,-0.53330,0.19978,1.02200,0.37930
15,0.29130,0.53070,-0.20650,0.27322,2.99400,0.31330
16,-0.75750,0.81190,-0.37370,0.47110,1.48200,0.37030
17,-0.00510,-0.46110,-0.84870,0.29294,2.76600,0.21130
18,-0.23310,0.42430,0.02910,0.48878,2.88200,0.39190
19,0.83470,-0.00890,-0.35090,0.19638,2.02200,0.30730
20,0.99810,0.07470,0.92590,0.44934,2.51000,0.18550
21,0.62950,0.62950,0.93350,0.25894,1.52200,0.33730
22,0.46990,0.95250,-0.73470,0.37726,1.72200,0.16630
23,0.23430,-0.66250,0.62570,0.34802,1.95400,0.39370
24,-0.71190,0.43570,0.92210,0.33850,2.03800,0.10510
25,-0.71950,0.06330,-0.78030,0.21814,2.69800,0.36310
26,0.06710,0.45850,0.01390,0.17122,1.94200,0.18010
27,0.59910,0.19250,-0.24450,0.49082,1.87800,0.11230
28,0.73210,-0.36610,0.15830,0.39426,2.74200,0.16270
29,-0.22170,-0.15330,-0.42690,0.18686,1.57000,0.10870
30,0.30650,0.96770,0.06710,0.33782,1.12200,0.34870
31,-0.02410,-0.51810,0.80430,0.36706,1.13000,0.17350
32,-0.17230,-0.81450,0.45470,0.43710,2.13800,0.33970
33,0.16590,0.26470,-0.00890,0.46090,1.29000,0.29290
34,0.10890,-0.59410,-0.79170,0.40242,1.65000,0.25690
35,-0.77270,-0.72330,-0.70810,0.24738,2.23800,0.17290
36,-0.82970,0.29890,-0.29390,0.18278,1.11000,0.33190
37,-0.66250,0.97530,-0.82970,0.42554,2.07000,0.32890
38,0.94490,0.93350,-0.05450,0.17462,2.38600,0.35530
39,0.82330,-0.87530,0.72450,0.34190,2.71800,0.29710
40,0.05190,-0.01650,0.95250,0.27730,1.69800,0.15250
41,-0.68150,0.80050,0.28750,0.38950,2.55800,0.27310
42,-0.03170,-0.34330,0.61810,0.18414,2.93400,0.24370
43,0.54590,0.88030,-0.70430,0.25690,2.94200,0.38170
44,-0.44590,-0.53330,-0.11150,0.47382,2.38200,0.32710
45,0.66750,0.30270,0.31790,0.35550,2.25800,0.31150
46,-0.65870,0.86890,0.84990,0.20930,1.26200,0.39790
47,0.80050,0.54970,0.37870,0.18958,1.27800,0.22990
48,0.31790,0.92210,0.99810,0.43914,1.97400,0.25750
49,0.71690,-0.78030,-0.67770,0.22426,1.11800,0.25870
50,-0.55990,0.04430,0.53830,0.30926,1.93000,0.19330
51,-0.51810,0.89170,-0.21410,0.40310,2.76200,0.10990
52,0.50030,-0.52190,-0.89810,0.32966,2.01000,0.36670
53,0.53450,0.24950,0.58010,0.42350,1.59000,0.14890
54,0.00250,0.75490,-0.52190,0.20318,2.35400,0.14110
55,0.52690,-0.32050,-0.00510,0.30314,2.41800,0.27070
56,-0.81830,0.69030,-0.16470,0.45954,2.00200,0.15310
57,-0.86770,-0.61690,0.30270,0.40650,1.82600,0.36370
58,0.95630,-0.12290,0.74350,0.24466,1.53800,0.20530
59,0.90690,0.47370,-0.43070,0.26574,1.34600,0.28270
60,-0.81450,-0.21410,-0.89050,0.34598,2.79800,0.12430
61,0.44330,-0.48770,0.99050,0.17666,2.81000,0.17050
62,0.13930,0.01390,0.27230,0.31334,2.96200,0.34750
63,-0.78790,-0.85630,0.84610,0.39290,1.31400,0.14470
64,-0.70430,-0.41550,-0.50670,0.18074,2.12600,0.21910
65,-0.18750,0.70170,-0.73090,0.44118,2.59000,0.30970
66,-0.05070,-0.18370,0.07090,0.45410,1.06600,0.12970
67,-0.57890,0.18870,0.35590,0.16238,1.40200,0.35050
68,0.55730,-0.70050,-0.29010,0.40990,2.47800,0.18250
69,-0.07350,-0.24450,-0.74610,0.49490,1.85000,0.35590
70,-0.43450,-0.11910,0.03290,0.21338,2.56200,0.15910
71,-0.24070,-0.80310,0.86510,0.29702,2.65400,0.10390
72,0.02910,0.72450,-0.81830,0.36026,1.29400,0.36130
73,0.31410,-0.85250,-0.32050,0.44254,1.20600,0.37390
74,-0.74610,0.39770,0.15450,0.38134,1.37800,0.23170
75,0.14310,-0.38510,0.56110,0.16170,1.81000,0.10270
