idx,beta_perp,beta_para,T_star,Q0_k,alpha_inel_hard
0,-0.79720,1.88520,0.33468,1.77655,0.35470
1,1.04520,-0.71320,0.58548,2.42545,0.11890
2,-0.04120,0.31720,0.16220,2.08735,0.21310
3,1.76760,1.54920,0.49220,1.55395,0.26410
4,-0.32120,-0.33240,0.46228,2.25535,0.38830
5,1.43720,1.05640,0.30124,1.91515,0.10030
6,0.77080,0.58600,0.24140,1.61275,0.37390
7,0.19400,1.29160,0.36548,2.37715,0.24550
8,1.59960,-0.50040,0.42532,1.79545,0.20170
9,0.42360,-0.01320,0.27748,1.49515,0.12610
10,1.37560,0.52440,0.52828,2.35825,0.31270
11,-0.35480,1.36440,0.55820,1.93405,0.16090
12,0.53000,-0.55080,0.22996,2.48005,0.26890
13,1.93560,1.85720,0.26692,2.31415,0.19990
14,-0.77480,0.24440,0.51948,1.57495,0.17470
15,1.73400,0.22760,0.22204,2.19235,0.39490
16,0.28360,1.91880,0.44028,1.98445,0.12010
17,-0.09160,-0.79720,0.36108,1.63165,0.27790
18,1.90200,-0.36600,0.57580,1.65475,0.29890
19,0.98360,1.76760,0.35668,2.48635,0.39910
20,-0.52280,0.18840,0.41916,2.01805,0.30130
21,0.04840,1.51000,0.19828,1.48885,0.32530
22,-0.60120,-0.75240,0.24316,1.95085,0.14170
23,0.69800,0.08760,0.50540,1.84165,0.23770
24,1.02280,-0.78040,0.18156,2.07055,0.35110
25,1.26920,1.47080,0.39892,1.45945,0.14290
26,-0.64600,0.81560,0.19388,1.88155,0.38290
27,0.45720,0.75400,0.57932,1.47415,0.35710
28,0.63640,-0.36040,0.39540,2.32675,0.10570
29,-0.46680,1.82920,0.18244,2.16505,0.25090
30,0.35080,0.70920,0.23612,2.27215,0.15730
31,-0.45560,0.96120,0.44468,2.47375,0.34690
32,1.36440,0.21640,0.59956,1.75975,0.13150
33,0.93320,1.02280,0.34084,1.65265,0.22150
34,1.67240,0.73720,0.28452,1.98865,0.28270
35,0.05960,0.86040,0.56700,2.23225,0.20470
36,0.88280,1.90200,0.21148,1.53295,0.15430
37,1.20760,-0.65720,0.24932,1.47625,0.23710
38,1.77320,-0.03000,0.35932,2.14195,0.18250
39,1.52680,1.69480,0.56876,1.91935,0.39250
40,-0.73000,1.39240,0.38572,2.46115,0.12430
41,1.50440,1.25800,0.19124,1.75135,0.17110
42,0.70920,1.07320,0.16396,2.38555,0.32170
43,-0.20920,-0.39400,0.52476,2.10835,0.13330
44,1.21880,1.19640,0.42268,2.08525,0.32770
45,1.98040,0.27800,0.48252,2.27005,0.23290
46,0.83800,0.41800,0.34700,2.17975,0.29650
47,0.20520,-0.00760,0.47284,1.95715,0.33070
48,-0.72440,0.30040,0.31532,2.34355,0.36310
49,0.78760,-0.48360,0.38308,1.50775,0.32110
50,1.94680,-0.18120,0.19564,2.41705,0.15490
51,-0.31560,0.89960,0.23348,1.76605,0.11650
52,-0.57320,-0.25400,0.17716,2.45695,0.33550
53,1.68920,1.50440,0.59164,2.27425,0.17950
