idx,beta_perp,beta_para,T_star,Q0_k,alpha_inel_hard
0,-0.89810,0.23430,0.46316,0.84329,0.38050
1,0.73210,-0.58270,0.19300,0.41187,0.20650
2,0.03290,0.89550,0.57668,0.51575,0.15430
3,-0.39650,-0.81070,0.33996,0.77545,0.26470
4,0.35970,-0.22170,0.27220,0.88357,0.11710
5,0.98670,0.12410,0.37692,0.61963,0.28930
6,0.38250,-0.89810,0.47460,0.50091,0.34030
7,-0.23310,0.69410,0.22292,0.45639,0.30130
8,-0.64350,-0.40030,0.52476,0.70973,0.18490
9,-0.45350,0.41290,0.43764,0.58147,0.10270
10,0.80430,-0.21790,0.58988,0.37477,0.38590
11,0.60290,0.83470,0.41564,0.70337,0.36190
12,0.22290,-0.46870,0.31268,0.55709,0.39490
13,0.20770,0.29890,0.51684,0.42883,0.24190
14,0.56490,0.57630,0.17012,0.76273,0.17590
15,-0.84110,-0.87150,0.21852,0.55073,0.22690
16,-0.02030,0.03290,0.30828,0.39915,0.13570
17,0.12790,-0.70810,0.18684,0.81255,0.33190
18,-0.32050,0.94870,0.49132,0.64083,0.32110
19,-0.81450,0.64090,0.54764,0.87403,0.14710
20,0.64470,-0.36230,0.59868,0.79241,0.10210
21,-0.52950,-0.08490,0.27836,0.47229,0.34630
22,-0.55230,0.86130,0.39188,0.79347,0.19630
23,0.53070,-0.41550,0.43324,0.44685,0.15730
24,0.50410,-0.68530,0.50628,0.87191,0.39190
25,0.92970,0.69790,0.30036,0.69171,0.14350
26,0.28370,-0.06970,0.58812,0.66309,0.20350
27,-0.00510,-0.72710,0.55732,0.45215,0.36850
28,-0.13050,0.98670,0.35052,0.56345,0.22270
29,0.66370,-0.13810,0.53532,0.51999,0.30010
30,-0.74990,-0.33570,0.33380,0.86343,0.31870
31,0.06710,0.72830,0.46844,0.73411,0.23290
32,-0.72710,0.18870,0.41652,0.39597,0.26950
33,0.43950,-0.15330,0.22820,0.69595,0.25150
34,0.58010,0.77770,0.37252,0.38431,0.11950
35,0.35210,0.54590,0.52828,0.81149,0.27250
36,-0.44210,0.02150,0.22116,0.88887,0.17830
37,0.86890,-0.03550,0.25196,0.49455,0.23830
38,0.39390,0.44710,0.32060,0.75319,0.37090
39,-0.38510,0.00250,0.40332,0.53377,0.37870
40,0.15830,0.11270,0.19740,0.60797,0.15910
41,0.06330,-0.88670,0.28188,0.79665,0.14950
42,-0.31290,-0.85630,0.45348,0.46487,0.18190
43,-0.80690,-0.60550,0.59692,0.47653,0.23530
44,0.82710,0.25330,0.17980,0.65143,0.30490
45,-0.21790,-0.24830,0.16748,0.38961,0.21790
46,0.57250,-0.46110,0.56524,0.61645,0.22990
47,0.94110,-0.80690,0.23612,0.41929,0.36550
48,0.12030,0.26850,0.33820,0.87721,0.19330
49,-0.83730,-0.11910,0.48252,0.89629,0.27730
50,0.64090,0.46230,0.50452,0.56875,0.16630
51,-0.71950,-0.55990,0.36284,0.81043,0.13690
52,-0.67390,0.62950,0.30916,0.51787,0.23050
53,-0.30530,0.49270,0.57932,0.40339,0.28210
54,-0.74230,-0.23690,0.48956,0.44367,0.11230
55,0.94490,-0.48010,0.43060,0.72139,0.26230
56,-0.29010,0.56490,0.25988,0.61327,0.35410
57,0.99810,0.88030,0.28364,0.54755,0.31510
58,0.27230,0.61810,0.34524,0.37689,0.30790
59,0.05570,-0.31290,0.57492,0.75001,0.39670
60,0.69410,0.06710,0.24492,0.71397,0.12370
61,-0.79930,-0.75370,0.31884,0.63765,0.38470
62,0.77390,0.77390,0.45436,0.82315,0.29290
63,-0.60930,-0.82970,0.56700,0.54649,0.11530
64,-0.40030,0.27990,0.16484,0.83269,0.36130
65,-0.48390,-0.46490,0.50804,0.79771,0.30370
66,0.45850,-0.86390,0.25284,0.59949,0.10810
67,0.77770,-0.62830,0.54324,0.75637,0.14590
68,-0.43070,-0.64350,0.40772,0.37159,0.20890
69,-0.62450,0.25710,0.23084,0.46381,0.12130
70,0.88030,0.53450,0.43940,0.39067,0.21190
71,-0.70810,-0.25970,0.26868,0.67263,0.27490
72,-0.11150,0.38630,0.42620,0.49773,0.29650
73,0.09750,-0.32810,0.45172,0.53483,0.12430
74,-0.51810,0.67510,0.32324,0.82421,0.10870
75,0.04810,-0.03170,0.35316,0.84647,0.35350
76,0.18870,0.81190,0.42796,0.59419,0.18310
77,-0.09250,0.03670,0.24052,0.66203,0.39970
78,-0.77270,-0.02410,0.41036,0.65779,0.14890
79,0.15070,-0.77650,0.54500,0.66839,0.25450
80,-0.46490,-0.19890,0.55820,0.65567,0.33910
81,-0.60170,0.35590,0.36460,0.37371,0.37330
82,0.90690,-0.69670,0.45612,0.57193,0.37750
83,-0.16850,0.80050,0.17276,0.77757,0.31630
84,0.02910,-0.57890,0.24316,0.87933,0.26590
85,0.81950,0.99810,0.57844,0.61433,0.36610
86,-0.06590,-0.41170,0.29420,0.62811,0.19150
87,0.23430,0.32930,0.44116,0.79877,0.38950
88,0.78530,0.65610,0.52740,0.42141,0.33490
89,0.35590,0.01390,0.49836,0.47335,0.10090
90,-0.82970,0.84610,0.56436,0.76591,0.30550
91,0.65610,0.87270,0.59164,0.84117,0.24430
92,-0.19890,-0.60930,0.27132,0.54225,0.15970
93,0.15450,0.91830,0.16044,0.68535,0.37150
94,0.21910,-0.81830,0.47812,0.86555,0.18670
95,-0.02410,-0.79930,0.19828,0.47441,0.24610
96,-0.59410,-0.68910,0.58460,0.81785,0.27970
97,0.78910,-0.30910,0.25020,0.84541,0.18130
98,0.11270,0.13550,0.59428,0.44261,0.17710
99,0.44710,0.91070,0.47196,0.81679,0.13810
100,0.58390,-0.65110,0.21324,0.64401,0.16870
101,0.48890,-0.73470,0.28628,0.72033,0.31270
102,-0.73090,0.96010,0.16308,0.78923,0.15550
103,0.63330,-0.51050,0.49748,0.74365,0.34390
104,0.65990,0.28750,0.26516,0.68959,0.38410
105,-0.15330,-0.23310,0.21500,0.71079,0.34870
106,0.81190,-0.52950,0.31972,0.58889,0.26890
107,-0.08490,0.92970,0.20444,0.40445,0.32470
108,0.62190,0.48510,0.16220,0.54437,0.34750
109,0.41290,-0.30150,0.58020,0.41823,0.13450
110,-0.78790,0.82710,0.46580,0.42989,0.19270
111,-0.54470,0.24190,0.34964,0.72245,0.24790
112,-0.77650,0.65230,0.23348,0.49879,0.39430
113,0.87650,0.04050,0.37164,0.87297,0.13090
114,-0.01270,0.06330,0.48516,0.68641,0.25870
115,-0.07730,-0.33190,0.49396,0.38113,0.36430
116,0.34830,0.15070,0.38220,0.53907,0.21550
117,-0.66250,0.16210,0.27396,0.82527,0.39790
118,0.47370,0.67890,0.32764,0.63447,0.27790
119,0.75110,-0.82210,0.26692,0.50833,0.29110
120,-0.46110,-0.36990,0.22644,0.48819,0.27010
121,-0.86770,-0.43830,0.41300,0.62387,0.31570
122,-0.25970,0.89170,0.35932,0.47971,0.36070
123,0.29890,0.76630,0.31708,0.85919,0.22210
124,0.02150,-0.45730,0.53620,0.83905,0.16510
125,-0.81070,0.92590,0.31092,0.62175,0.13210
126,-0.68910,-0.88290,0.42532,0.80195,0.37450
127,-0.79550,0.42430,0.19036,0.57935,0.33370
128,-0.06970,-0.61310,0.17804,0.72563,0.38110
129,0.49650,0.88410,0.22028,0.72881,0.21430
130,-0.31670,-0.13050,0.20532,0.53695,0.19570
131,-0.61310,0.13170,0.55292,0.75743,0.21250
132,0.83470,0.96390,0.38044,0.58571,0.15010
