idx,beta_perp,beta_para,T_star,Q0_k,alpha_inel_hard
0,-0.79720,-0.35480,0.22380,1.41085,0.13750
1,1.98600,1.31400,0.54500,3.06995,0.36430
2,0.70920,1.98600,0.33380,1.88085,0.29770
3,0.10440,0.12120,0.42708,3.25325,0.20110
4,-0.38280,0.70360,0.16308,2.62815,0.39190
5,1.30840,0.67560,0.52388,1.20405,0.21970
6,1.05640,-0.74680,0.30916,3.42715,0.33190
7,1.58280,-0.52280,0.57228,2.70335,0.16330
8,-0.71880,1.53240,0.49308,2.93365,0.10750
9,0.91080,0.34520,0.26956,2.48715,0.12250
10,-0.10840,-0.17000,0.52916,1.82915,0.34750
11,1.36440,1.12920,0.18948,3.38485,0.14890
12,1.91880,0.16600,0.25372,1.48605,0.33790
13,-0.69640,0.54120,0.37692,1.70695,0.25510
14,1.86840,1.80680,0.44644,3.48355,0.24370
15,0.01480,1.58840,0.30828,1.32625,0.39910
16,1.47640,-0.36040,0.35668,2.33675,0.38650
17,-0.43880,1.23560,0.56524,2.32265,0.19330
18,0.37320,1.39240,0.17892,2.15345,0.24250
19,-0.31000,1.86840,0.21940,2.97125,0.26350
20,0.56920,0.42920,0.59428,1.51895,0.13450
21,1.75640,0.88280,0.21236,1.96545,0.27250
22,-0.62360,-0.69080,0.54412,2.47305,0.30430
23,0.22200,-0.13640,0.32500,1.17585,0.26470
24,0.32280,1.90760,0.57140,2.08295,0.38770
25,1.51560,-0.04680,0.24668,3.00885,0.23350
26,0.94440,0.53560,0.51772,2.83025,0.39970
27,-0.58440,1.94120,0.29772,3.27675,0.12970
28,0.04280,1.71160,0.55820,3.39895,0.29170
29,1.94680,0.85480,0.38044,1.35915,0.11830
30,-0.29320,0.03160,0.36900,3.49765,0.31210
31,0.61400,-0.59000,0.20972,2.56705,0.17770
32,1.76760,1.59400,0.35844,2.65165,0.14530
33,0.96120,1.54360,0.17276,1.18055,0.16930
34,-0.09720,0.97240,0.46228,2.22865,0.11290
35,1.78440,-0.51160,0.41740,1.39675,0.29350
36,-0.06920,1.12360,0.27308,1.53775,0.28270
37,1.98040,-0.77480,0.46492,1.80565,0.16630
38,-0.64040,0.81000,0.50276,1.30275,0.33610
39,0.87720,-0.26520,0.48516,3.20625,0.13810
40,-0.36040,-0.48360,0.24492,2.10175,0.20770
41,0.36200,1.76760,0.39364,3.02765,0.18850
42,0.83800,-0.68520,0.25196,1.73515,0.39490
43,-0.68520,0.90520,0.58636,3.21565,0.17230
44,1.05080,1.16280,0.44028,2.45895,0.31450
45,1.29160,1.10680,0.58196,1.62705,0.35470
46,0.98360,0.11560,0.58548,2.59995,0.25870
47,-0.23160,0.73720,0.30124,1.66935,0.15670
48,0.16600,0.96120,0.17188,2.88195,0.30130
49,1.62200,1.77880,0.31620,1.83855,0.11530
50,-0.54520,0.82680,0.34260,2.77385,0.27670
51,0.71480,-0.56760,0.48780,1.61295,0.24190
52,1.20760,1.96920,0.25108,1.36385,0.25030
53,0.53560,1.67240,0.37076,2.18165,0.33310
54,1.72280,0.52440,0.41300,3.43655,0.13390
55,0.49080,1.03400,0.45084,1.20875,0.36850
56,1.40920,-0.64040,0.32324,1.46725,0.17170
57,1.81800,-0.27080,0.55468,2.39315,0.21490
58,0.24440,0.16040,0.55556,2.94775,0.37630
59,1.40360,1.42600,0.28276,2.61875,0.36610
60,0.41240,0.19960,0.49660,1.89025,0.19450
61,1.11240,1.28040,0.16220,2.75035,0.19930
62,-0.18680,-0.02440,0.31444,3.10285,0.10810
63,0.67560,-0.49480,0.55204,3.38955,0.10150
64,1.89080,0.10440,0.17100,3.28145,0.38170
65,-0.29880,-0.57320,0.19740,1.38265,0.34990
66,-0.67400,0.08760,0.39980,2.05475,0.12670
67,-0.28200,-0.31560,0.44204,2.75975,0.37210
68,1.24120,-0.14760,0.49924,2.68455,0.33070
69,1.19640,1.69480,0.45876,2.84435,0.21430
70,-0.02440,0.15480,0.19212,1.97015,0.16570
71,0.80440,1.25800,0.40068,3.20155,0.37750
72,0.66440,0.48520,0.33996,1.34505,0.23170
73,0.92200,1.30840,0.43148,2.09705,0.15130
74,-0.46120,1.88520,0.25812,1.94665,0.37150
75,1.02840,0.51880,0.17452,1.58005,0.36730
76,0.74840,-0.29320,0.24140,3.36605,0.34810
77,-0.65720,1.95800,0.44732,1.15235,0.27910
78,0.08760,1.34200,0.23436,1.69285,0.18550
79,1.04520,1.98040,0.51332,3.25795,0.26710
80,1.94120,1.51560,0.52036,1.58945,0.20590
81,-0.41640,1.65560,0.16660,1.26515,0.32050
82,-0.23720,0.05960,0.53796,2.87255,0.17590
83,1.90200,0.45160,0.59164,2.29915,0.28390
84,-0.50600,1.10120,0.42620,2.19105,0.38230
85,0.86040,0.70920,0.38924,1.16175,0.32230
86,0.23880,1.47080,0.41124,2.60465,0.22630
87,-0.27640,1.82360,0.56260,1.77745,0.13930
88,1.93560,-0.73000,0.38572,3.21095,0.21190
89,1.76200,-0.55640,0.18244,2.80675,0.32410
90,-0.78600,-0.46680,0.39276,2.35085,0.26590
91,0.68680,1.73400,0.52476,1.51425,0.36250
92,1.71160,0.33400,0.31708,3.13575,0.34090
93,0.59720,0.40680,0.44908,2.64695,0.27310
94,0.17160,-0.78600,0.26252,3.32375,0.27850
95,0.46280,1.79560,0.28980,3.14985,0.39250
96,-0.32120,-0.09720,0.48252,1.95605,0.10210
97,-0.39960,1.09560,0.32852,1.21815,0.12850
98,0.83240,1.57720,0.46844,1.81505,0.25750
99,-0.60680,0.28360,0.21500,2.73625,0.31570
100,1.91320,0.98360,0.27220,2.96185,0.39790
101,-0.56760,-0.00200,0.58108,3.44125,0.24010
102,0.35640,-0.66280,0.52300,2.30385,0.16870
103,1.15160,0.37880,0.51068,1.73985,0.14590
104,1.61080,-0.28200,0.34524,1.28395,0.32890
105,1.45960,0.75960,0.47284,1.92785,0.33910
106,-0.76920,1.45960,0.17628,3.04645,0.18010
107,1.67240,1.37560,0.48076,1.18525,0.12130
108,0.14920,0.36760,0.20180,3.17805,0.14050
109,1.49320,1.27480,0.42532,1.52365,0.26530
